SAMPLE,SITE,AGE,CLASS,LABEL,TREE,SITE.TREE,CLASS.TREE,SITE.TREE.N,WT_MG,d13C,d15N,Cumol,Numol,CN,PCT_C,PCT_N,PctMoist,SLAgm2,SLAkgm2,SLAkgha,CMASStree_gm2,NMASStree_gm2,CMASStree_kgha,NMASStree_kgha
S02.MN.1.1,S02,10,C02,10-24,MN,S02.MN,C02.MN,S02.MN.1,3.06,-26.63014078,-1.138404189,119.6066011,5.910098905,20.23766488,46.90454943,2.703966819,40.74074074,101.8591636,0.101859164,1018.591636,47.77658174,2.754237986,477.7658174,27.54237986
S02.MN.1.2,S02,10,C02,10-24,MN,S02.MN,C02.MN,S02.MN.1,3.03,-26.90817864,-1.343921317,121.9315458,6.323282906,19.28294964,48.28972113,2.921648868,37.5,95.49296586,0.095492966,954.9296586,46.11328691,2.789969156,461.1328691,27.89969156
S02.MN.2.1,S02,10,C02,10-24,MN,S02.MN,C02.MN,S02.MN.2,2.985,-28.1064244,-1.921382434,116.9157713,6.756246842,17.30357893,47.03768612,3.171509557,20,101.8591636,0.101859164,1018.591636,47.91219366,3.230473108,479.1219366,32.30473108
S02.MN.2.2,S02,10,C02,10-24,MN,S02.MN,C02.MN,S02.MN.2,2.98,-27.99810611,-1.307280265,117.2865791,6.670131516,17.58384806,47.22949494,3.133618833,20,101.8591636,0.101859164,1018.591636,48.10756852,3.191877934,481.0756852,31.91877934
S02.MT.1.1,S02,10,C02,10-24,MT,S02.MT,C02.MT,S02.MT.1,3.78,-26.24161435,1.785850408,156.5963162,7.102283377,22.04872826,49.71311626,2.630475325,41.66666667,90.94568177,0.090945682,909.4568177,45.21193251,2.392303718,452.1193251,23.92303718
S02.MT.1.2,S02,10,C02,10-24,MT,S02.MT,C02.MT,S02.MT.1,3.06,-26.35947561,1.102657668,124.2614135,5.013677573,24.78448438,48.72996607,2.293839412,30.43478261,103.937922,0.103937922,1039.37922,50.64891413,2.384169019,506.4891413,23.84169019
S02.MT.2.1,S02,10,C02,10-24,MT,S02.MT,C02.MT,S02.MT.2,2.86,-25.32293605,1.18214498,115.7426327,4.728072739,24.47987565,48.5633424,2.314441201,28,116.9301623,0.116930162,1169.301623,56.78519509,2.706279853,567.8519509,27.06279853
S02.MT.2.2,S02,10,C02,10-24,MT,S02.MT,C02.MT,S02.MT.2,3.62,-25.14745584,0.977817985,150.2148652,5.779326225,25.99176086,49.79498293,2.23509854,29.62962963,123.4262824,0.123426282,1234.262824,61.46009626,2.758699036,614.6009626,27.58699036
S02.MZ.1.1,S02,10,C02,10-24,MZ,S02.MZ,C02.MZ,S02.MZ.1,3.79,-25.81157639,0.947973,147.8308463,4.044345972,36.55247283,46.8066004,1.493953657,40,143.2394488,0.143239449,1432.394488,67.04551641,2.139930984,670.4551641,21.39930984
S02.MZ.1.2,S02,10,C02,10-24,MZ,S02.MZ,C02.MZ,S02.MZ.1,3.1,-25.89458288,0.996111323,119.6066011,3.26787617,36.600714,46.29932944,1.475815044,38.70967742,151.1971959,0.151197196,1511.971959,70.00328783,2.231390964,700.0328783,22.31390964
