SITE,DATADESC,AGE,logage,CLASS,CLASS_DESC,SEASONCODE,SEASON,TIME,TRIAL,TRIALDESC,SITE.DEPTH,DEPTHCODE,SITE.SEASON.DEPTH,DEPTH,DEPTHnum,NH4mgL,mgNNH4kgsoil,kgNNH4ha,NO3mgL,mgNNO3kgsoil,kgNNO3ha,EmgNNH4NO3kgsoil,EkgNNH4NO3ha,NO3toNH4mol,SOILTEMP,AIRTEMP,MOIST,BulkDen,PCT_Cx,d13Cx,Cumolx,PCT_Nx,d15Nx,Numolx,CtoNumolx,gCkgsoil,C_Mghax,gNkgsoil,N_Mghax,N_kgha,mgNNH4kgOrgC,mgNNO3kgOrgC,EmgNNH4NO3kgOrgC,estmgCkg
S08,NMIN_DRYALL_t0_X_D1,3,1.098612289,C1,3-4 yr,DRYALL,DRY15,t0,X,initial,S08_D1,D1,S08_DRY15_D1,D0-5_cm,5,0.3081,1.0813745,0.916815967,0.020595,0.02085,0.017689794,1.1022395,0.934505761,0.01955438,33,36,0.140204339,1.695649496,0.462359672,-21.14023626,32.2457341,0.035436063,4.039374486,2.118317217,15.2223349,4.62359672,3.919999724,0.35436063,0.300435712,300.4357118,233.8816652,4.509476337,238.3911415,3628.869793
S08,NMIN_DRYALL_t0_X_D2,3,1.098612289,C1,3-4 yr,DRYALL,DRY15,t0,X,initial,S08_D2,D2,S08_DRY15_D2,D5-15_cm,10,0.1771,0.6649185,1.10450919,0.04845,0.0529,0.08790754,0.717839,1.192416729,0.079867718,31,36,0.401525798,1.66111924,0.416007242,-21.68266298,29.94558798,0.030801425,3.98523765,1.900447925,15.75712104,4.16007242,6.910376337,0.30801425,0.511648397,511.6483969,159.8333954,12.71612478,172.5495202,2718.883675
S08,NMIN_DRYALL_t0_X_DSUM,3,1.098612289,C1,3-4 yr,DRYALL,DRY15,t0,X,initial,S08_DSUM,DSUM,S08_DRY15_DSUM,D0-15_cm,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.83037606,NA,0.812084109,812.0841087,NA,NA,NA,NA
S08,NMIN_WETALL_t0_X_D1,3,1.098612289,C1,3-4 yr,WETALL,WET15,t0,X,initial,S08_D1,D1,S08_WET15_D1,D0-5_cm,5,0.199,0.74767925,0.633900948,0.0518,0.05665,0.048005482,0.804301,0.68190643,0.075502966,37,35,3.037848606,1.695649496,0.462359672,-21.14023626,32.2457341,0.035436063,4.039374486,2.118317217,15.2223349,4.62359672,3.919999724,0.35436063,0.300435712,300.4357118,161.7094429,12.25236616,173.9618091,2648.104918
S08,NMIN_WETALL_t0_X_D2,3,1.098612289,C1,3-4 yr,WETALL,WET15,t0,X,initial,S08_D2,D2,S08_WET15_D2,D5-15_cm,10,0.1165,0.4448505,0.738949477,0.0287,0.03185,0.052907897,0.4767015,0.791857375,0.071576213,31,35,1.791936546,1.66111924,0.416007242,-21.68266298,29.94558798,0.030801425,3.98523765,1.900447925,15.75712104,4.16007242,6.910376337,0.30801425,0.511648397,511.6483969,106.9333548,7.656116717,114.5894715,1805.600172
S08,NMIN_WETALL_t0_X_DSUM,3,1.098612289,C1,3-4 yr,WETALL,WET15,t0,X,initial,S08_DSUM,DSUM,S08_WET15_DSUM,D0-15_cm,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.83037606,NA,0.812084109,812.0841087,NA,NA,NA,NA
S08,NMIN_DRYALL_t2mt0_FC_D1,3,1.098612289,C1,3-4 yr,DRYALL,DRY15,t2mt0,FC,wet,S08_D1,D1,S08_DRY15_D1,D0-5_cm,5,0.06815,0.319935875,0.271249559,-0.0138575,-0.01355,-0.011500855,0.306370625,0.259748703,-0.013969207,33,36,0.140204339,1.695649496,0.462359672,-21.14023626,32.2457341,0.035436063,4.039374486,2.118317217,15.2223349,4.62359672,3.919999724,0.35436063,0.300435712,300.4357118,69.19631931,-2.930618914,66.2657004,1008.718684
S08,NMIN_DRYALL_t2mt0_FC_D2,3,1.098612289,C1,3-4 yr,DRYALL,DRY15,t2mt0,FC,wet,S08_D2,D2,S08_DRY15_D2,D5-15_cm,10,0.0329,0.1154015,0.191695397,-0.0382,-0.0418,-0.069503707,0.07356,0.122191692,-0.065544102,31,36,0.401525798,1.66111924,0.416007242,-21.68266298,29.94558798,0.030801425,3.98523765,1.900447925,15.75712104,4.16007242,6.910376337,0.30801425,0.511648397,511.6483969,27.74026227,-10.047902,17.69236027,278.7806622
S08,NMIN_DRYALL_t2mt0_FC_DSUM,3,1.098612289,C1,3-4 yr,DRYALL,DRY15,t2mt0,FC,wet,S08_DSUM,DSUM,S08_DRY15_DSUM,D0-15_cm,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.83037606,NA,0.812084109,812.0841087,NA,NA,NA,NA
S08,NMIN_DRYALL_t2mt0_FM_D1,3,1.098612289,C1,3-4 yr,DRYALL,DRY15,t2mt0,FM,dry,S08_D1,D1,S08_DRY15_D1,D0-5_cm,5,0.2094,0.84204875,0.713909866,0.0273525,0.031,0.0262651,0.873028,0.740174966,0.00777916,33,36,0.140204339,1.695649496,0.462359672,-21.14023626,32.2457341,0.035436063,4.039374486,2.118317217,15.2223349,4.62359672,3.919999724,0.35436063,0.300435712,300.4357118,182.1198519,6.704737,188.8245889,2874.35113
S08,NMIN_DRYALL_t2mt0_FM_D2,3,1.098612289,C1,3-4 yr,DRYALL,DRY15,t2mt0,FM,dry,S08_D2,D2,S08_DRY15_D2,D5-15_cm,10,0.3079,1.13882,1.891715323,0.02625,0.0279,0.046331897,1.166712,1.938047221,-0.034792464,31,36,0.401525798,1.66111924,0.416007242,-21.68266298,29.94558798,0.030801425,3.98523765,1.900447925,15.75712104,4.16007242,6.910376337,0.30801425,0.511648397,511.6483969,273.7500421,6.706614016,280.4566561,4419.189476
S08,NMIN_DRYALL_t2mt0_FM_DSUM,3,1.098612289,C1,3-4 yr,DRYALL,DRY15,t2mt0,FM,dry,S08_DSUM,DSUM,S08_DRY15_DSUM,D0-15_cm,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.83037606,NA,0.812084109,812.0841087,NA,NA,NA,NA
S08,NMIN_WETALL_t2mt0_FC_D1,3,1.098612289,C1,3-4 yr,WETALL,WET15,t2mt0,FC,wet,S08_D1,D1,S08_WET15_D1,D0-5_cm,5,-0.080225,-0.301419875,-0.255551274,-0.046225,-0.0505525,-0.042838868,-0.35194775,-0.298390143,-0.062207928,37,35,3.037848606,1.695649496,0.462359672,-21.14023626,32.2457341,0.035436063,4.039374486,2.118317217,15.2223349,4.62359672,3.919999724,0.35436063,0.300435712,300.4357118,-65.19164479,-10.93358765,-76.12523244,-1158.803782
